ENSEMBL,gene_symbol,gene_name,baseMean,log2FoldChange,foldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000001.5,Gnai3,"guanine nucleotide binding protein (G protein), alpha inhibiting 3",1467.3991454529435,-0.09385161847428293,0.9370178144201629,0.11713324462634575,-0.8012381008796345,0.42299381775317413,0.819641611872106
ENSMUSG00000000028.16,Cdc45,cell division cycle 45,16.09754512947841,-0.04520671853243061,0.9691509408674921,0.4299233684475025,-0.10515064276612067,0.9162562748841437,0.9827196010102373
ENSMUSG00000000031.17,H19,"H19, imprinted maternally expressed transcript",4.385597913081272,0.549017796876397,1.4630892690496375,0.7032163709372423,0.7807238562217622,0.4349649264131747,0.8271631101591157
ENSMUSG00000000037.18,Scml2,Scm polycomb group protein like 2,1.019443449245728,0.6706733840061582,1.5918157808823419,1.5086426850662982,0.4445541615950533,0.6566419797120187,NA
ENSMUSG00000000049.12,Apoh,apolipoprotein H,21173.09665453349,-0.20308414195707863,0.8686915191858863,0.11955280164970898,-1.6986983086529197,0.08937604229475407,0.4542477511042728
ENSMUSG00000000056.8,Narf,nuclear prelamin A recognition factor,1156.161024731113,-0.11763648640930871,0.9216963953276872,0.14597358470905955,-0.8058751632616983,0.4203148333788728,0.8182916182864082
ENSMUSG00000000058.7,Cav2,caveolin 2,90.16857218789063,0.21524625158829883,1.1609020502123584,0.17185271600002658,1.2525042175549064,0.2103861924674002,0.6451129664499282
ENSMUSG00000000078.8,Klf6,Kruppel-like factor 6,256.074372116886,-0.03808326863174335,0.9739480531547192,0.24799262674969388,-0.15356613271483224,0.8779518422987721,0.9748748727180458
ENSMUSG00000000085.17,Scmh1,sex comb on midleg homolog 1,99.0621734527271,-0.145911281832473,0.9038083045058402,0.24697012181637581,-0.5908054009098281,0.5546508158046042,0.879475627719708
ENSMUSG00000000088.8,Cox5a,cytochrome c oxidase subunit 5A,2370.3570919217364,-0.14269706905416785,0.9058241641414442,0.09370952540263824,-1.5227594894013883,0.1278188885184854,0.5302733462422486
ENSMUSG00000000093.7,Tbx2,T-box 2,54.30540812084143,-0.0845787228801267,0.943059875845998,0.22281655160622585,-0.37958904879561667,0.7042504912304991,0.9288062860755977
ENSMUSG00000000094.13,Tbx4,T-box 4,0.22733892554024515,0.17905667968035863,1.1321433801622232,3.352471010973651,0.053410358835095664,0.9574049518380026,NA
ENSMUSG00000000120.7,Ngfr,"nerve growth factor receptor (TNFR superfamily, member 16)",74.59723287904883,-0.5343345606147604,0.6904770840434363,0.2572740790213613,-2.076907874463307,0.0378100628410208,0.3017026992918489
ENSMUSG00000000126.12,Wnt9a,"wingless-type MMTV integration site family, member 9A",22.43630155612497,0.023628608710416128,1.0165129598699916,0.3446412397733745,0.06856001541183399,0.9453398470186438,0.990157887182491
ENSMUSG00000000127.16,Fer,fer (fms/fps related) protein kinase,213.79660635414393,0.06893939693426776,1.0489452637692493,0.12603262000388224,0.5469964595843853,0.5843811644516449,0.8918472209311712
ENSMUSG00000000131.16,Xpo6,exportin 6,613.8576447112474,-0.13149050038375487,0.9128878254639144,0.09229659148637054,-1.424651747872749,0.15425789357089345,0.5695859728460987
ENSMUSG00000000134.18,Tfe3,transcription factor E3,382.08768166410766,-0.02699683265079604,0.9814612185895176,0.1553909941185849,-0.17373486027249244,0.8620738395899121,0.9720198073048433
ENSMUSG00000000142.16,Axin2,axin 2,178.44240617901443,0.26232211710996717,1.1994076811273435,0.2839164232965609,0.9239413277475755,0.35551686427021906,0.7810997695375953
ENSMUSG00000000148.18,Brat1,BRCA1-associated ATM activator 1,168.50633957985985,0.033163608753677194,1.023253505163643,0.16965896322014604,0.19547218799542448,0.8450233084659815,0.9702340648912118
ENSMUSG00000000149.11,Gna12,"guanine nucleotide binding protein, alpha 12",2568.770478969167,-0.2077823407906631,0.8658671889337141,0.1411036006536786,-1.4725516558619878,0.1408719686297827,0.5504622996538436
ENSMUSG00000000154.17,Slc22a18,"solute carrier family 22 (organic cation transporter), member 18",829.70098969504,-0.4589508531553924,0.7275151249231437,0.1497719696943997,-3.0643307562279696,0.002181575703269987,0.051038399893141996
ENSMUSG00000000159.17,Igsf5,"immunoglobulin superfamily, member 5",462.48284038856104,0.02779460285440056,1.019452532747628,0.10489583283100046,0.2649733750546691,0.7910299725465724,0.9585857673090439
ENSMUSG00000000167.15,Pih1d2,PIH1 domain containing 2,7.883415347276851,-0.34613005920918977,0.7866915217790325,0.5386655244193757,-0.6425695417992108,0.520503451911744,0.867957641107699
ENSMUSG00000000168.11,Dlat,dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex),811.7610922350028,0.19728942551057171,1.146542175616457,0.12797933331849093,1.5415725367125865,0.12317750354080206,0.5231197957518466
ENSMUSG00000000171.6,Sdhd,"succinate dehydrogenase complex, subunit D, integral membrane protein",3251.383200628203,-0.06158920223390447,0.9582080227084907,0.07319407056369089,-0.8414507044025066,0.40009549019986207,0.8052575716039068
ENSMUSG00000000184.13,Ccnd2,cyclin D2,351.2520507394211,-0.34237062124656864,0.7887441903279648,0.16413471339155816,-2.085912322701735,0.03698656585595146,0.2982998157450205
ENSMUSG00000000194.14,Gpr107,G protein-coupled receptor 107,334.58194825247784,-0.1694888614495305,0.8891576488056527,0.11416873502777315,-1.4845470733147734,0.13766384462330108,0.5458028026252464
ENSMUSG00000000197.9,Nalcn,"sodium leak channel, non-selective",0.4339569114060224,0.3079204319324369,1.2379220146072076,2.2175451341623065,0.13885644408710357,0.8895635900297553,NA
